year	benchmark	value
1	1	11.1
1	2	11.1
1	3	0
1	4	0
1	5	11.1
1	6	11.1
1	7	0
1	8	11.1
1	9	0
1	10	0
1	11	0
1	12	11.1
1	13	11.1
1	14	0
1	15	0
1	16	11.1
2	1	4.4
2	2	12.4
2	3	0
2	4	12.4
2	5	12.4
2	6	5.3
2	7	7.1
2	8	12.4
2	9	5.3
2	10	0
2	11	0
2	12	12.4
2	13	3.5
2	14	5.3
2	15	3.5
2	16	3.5
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	8.3
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	0
3	12	8.3
3	13	8.3
3	14	4.2
3	15	8.3
3	16	4.2
4	1	0
4	2	10
4	3	0
4	4	10
4	5	10
4	6	10
4	7	0
4	8	10
4	9	10
4	10	0
4	11	0
4	12	10
4	13	10
4	14	5
4	15	5
4	16	10
5	1	8.3
5	2	8.3
5	3	0
5	4	8.3
5	5	8.3
5	6	8.3
5	7	0
5	8	8.3
5	9	8.3
5	10	0
5	11	0
5	12	8.3
5	13	8.3
5	14	8.3
5	15	8.3
5	16	8.3
