year	benchmark	value
1	1	10.2
1	2	6.1
1	3	0
1	4	10.2
1	5	10.2
1	6	8.2
1	7	10.2
1	8	10.2
1	9	10.2
1	10	0
1	11	0
1	12	10.2
1	13	4.1
1	14	4.1
1	15	0
1	16	6.1
2	1	10
2	2	0
2	3	0
2	4	10
2	5	10
2	6	10
2	7	0
2	8	10
2	9	10
2	10	0
2	11	0
2	12	10
2	13	10
2	14	0
2	15	10
2	16	10
3	1	10.5
3	2	10.5
3	3	0
3	4	10.5
3	5	5.3
3	6	10.5
3	7	0
3	8	10.5
3	9	5.3
3	10	0
3	11	0
3	12	10.5
3	13	10.5
3	14	5.3
3	15	0
3	16	10.5
4	1	7.7
4	2	7.7
4	3	0
4	4	7.7
4	5	7.7
4	6	7.7
4	7	7.7
4	8	7.7
4	9	7.7
4	10	0
4	11	7.7
4	12	7.7
4	13	7.7
4	14	0
4	15	7.7
4	16	7.7
5	1	8.3
5	2	8.3
5	3	0
5	4	8.3
5	5	8.3
5	6	0
5	7	8.3
5	8	8.3
5	9	8.3
5	10	0
5	11	8.3
5	12	0
5	13	8.3
5	14	8.3
5	15	8.3
5	16	8.3
