year	benchmark	value
1	1	13.9
1	2	0
1	3	0
1	4	11.1
1	5	13.9
1	6	13.9
1	7	5.6
1	8	13.9
1	9	0
1	10	0
1	11	0
1	12	0
1	13	11.1
1	14	5.6
1	15	5.6
1	16	5.6
2	1	7.7
2	2	6.6
2	3	0
2	4	11
2	5	11
2	6	11
2	7	11
2	8	11
2	9	8.8
2	10	0
2	11	0
2	12	11
2	13	3.3
2	14	2.2
2	15	3.3
2	16	2.2
3	1	10
3	2	10
3	3	0
3	4	10
3	5	10
3	6	10
3	7	0
3	8	10
3	9	10
3	10	0
3	11	0
3	12	10
3	13	10
3	14	0
3	15	0
3	16	10
4	1	7.7
4	2	7.7
4	3	0
4	4	7.7
4	5	7.7
4	6	7.7
4	7	7.7
4	8	7.7
4	9	7.7
4	10	0
4	11	0
4	12	7.7
4	13	7.7
4	14	7.7
4	15	7.7
4	16	7.7
5	1	11.1
5	2	11.1
5	3	0
5	4	11.1
5	5	11.1
5	6	11.1
5	7	0
5	8	11.1
5	9	11.1
5	10	0
5	11	0
5	12	0
5	13	11.1
5	14	0
5	15	11.1
5	16	0
