year	benchmark	value
1	1	12.5
1	2	12.5
1	3	0
1	4	12.5
1	5	12.5
1	6	12.5
1	7	1.8
1	8	10.7
1	9	0
1	10	0
1	11	0
1	12	8.9
1	13	1.8
1	14	3.6
1	15	7.1
1	16	3.6
2	1	11.1
2	2	11.1
2	3	0
2	4	11.1
2	5	11.1
2	6	0
2	7	0
2	8	11.1
2	9	0
2	10	0
2	11	0
2	12	11.1
2	13	0
2	14	11.1
2	15	11.1
2	16	11.1
3	1	10.3
3	2	10.3
3	3	0
3	4	10.3
3	5	10.3
3	6	0
3	7	3.4
3	8	0
3	9	10.3
3	10	0
3	11	0
3	12	10.3
3	13	3.4
3	14	6.9
3	15	10.3
3	16	10.3
4	1	4.2
4	2	6.2
4	3	0
4	4	12.5
4	5	12.5
4	6	0
4	7	6.2
4	8	12.5
4	9	4.2
4	10	0
4	11	0
4	12	12.5
4	13	4.2
4	14	6.2
4	15	12.5
4	16	6.2
5	1	20
5	2	0
5	3	0
5	4	20
5	5	20
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	20
5	15	20
5	16	0
