year	benchmark	value
1	1	10
1	2	10
1	3	0
1	4	10
1	5	10
1	6	10
1	7	10
1	8	10
1	9	10
1	10	0
1	11	0
1	12	10
1	13	10
1	14	0
1	15	0
1	16	0
2	1	11
2	2	7.3
2	3	0
2	4	11
2	5	11
2	6	11
2	7	7.3
2	8	11
2	9	2.8
2	10	0
2	11	1.8
2	12	11
2	13	6.4
2	14	0.9
2	15	3.7
2	16	3.7
3	1	7.7
3	2	7.7
3	3	0
3	4	7.7
3	5	7.7
3	6	7.7
3	7	7.7
3	8	7.7
3	9	7.7
3	10	0
3	11	7.7
3	12	7.7
3	13	7.7
3	14	7.7
3	15	0
3	16	7.7
4	1	9.1
4	2	9.1
4	3	0
4	4	9.1
4	5	9.1
4	6	9.1
4	7	9.1
4	8	9.1
4	9	0
4	10	0
4	11	9.1
4	12	0
4	13	9.1
4	14	9.1
4	15	0
4	16	9.1
5	1	8.3
5	2	8.3
5	3	0
5	4	8.3
5	5	8.3
5	6	8.3
5	7	8.3
5	8	8.3
5	9	0
5	10	0
5	11	8.3
5	12	0
5	13	8.3
5	14	8.3
5	15	8.3
5	16	8.3
