year	benchmark	value
1	1	8.3
1	2	8.3
1	3	0
1	4	8.3
1	5	8.3
1	6	8.3
1	7	8.3
1	8	8.3
1	9	8.3
1	10	0
1	11	0
1	12	8.3
1	13	8.3
1	14	4.2
1	15	4.2
1	16	8.3
2	1	8.3
2	2	8.3
2	3	0
2	4	8.3
2	5	8.3
2	6	8.3
2	7	8.3
2	8	8.3
2	9	8.3
2	10	0
2	11	0
2	12	8.3
2	13	8.3
2	14	0
2	15	8.3
2	16	8.3
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	8.3
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	0
3	12	8.3
3	13	8.3
3	14	8.3
3	15	0
3	16	8.3
4	1	7.1
4	2	7.1
4	3	0
4	4	7.1
4	5	7.1
4	6	7.1
4	7	7.1
4	8	7.1
4	9	7.1
4	10	0
4	11	7.1
4	12	7.1
4	13	7.1
4	14	7.1
4	15	7.1
4	16	7.1
5	1	7.7
5	2	7.7
5	3	0
5	4	7.7
5	5	7.7
5	6	7.7
5	7	7.7
5	8	7.7
5	9	7.7
5	10	0
5	11	0
5	12	7.7
5	13	7.7
5	14	7.7
5	15	7.7
5	16	7.7
