year	benchmark	value
1	1	9.1
1	2	0
1	3	0
1	4	9.1
1	5	9.1
1	6	9.1
1	7	9.1
1	8	9.1
1	9	9.1
1	10	0
1	11	0
1	12	9.1
1	13	9.1
1	14	0
1	15	9.1
1	16	9.1
2	1	9.1
2	2	9.1
2	3	0
2	4	9.1
2	5	9.1
2	6	9.1
2	7	9.1
2	8	9.1
2	9	9.1
2	10	0
2	11	0
2	12	9.1
2	13	9.1
2	14	4.5
2	15	4.5
2	16	0
3	1	10
3	2	10
3	3	0
3	4	10
3	5	10
3	6	10
3	7	10
3	8	10
3	9	10
3	10	0
3	11	0
3	12	10
3	13	10
3	14	0
3	15	0
3	16	0
4	1	8.3
4	2	8.3
4	3	0
4	4	8.3
4	5	8.3
4	6	8.3
4	7	8.3
4	8	8.3
4	9	8.3
4	10	0
4	11	0
4	12	8.3
4	13	8.3
4	14	8.3
4	15	0
4	16	8.3
5	1	11.1
5	2	11.1
5	3	0
5	4	11.1
5	5	11.1
5	6	0
5	7	0
5	8	11.1
5	9	11.1
5	10	0
5	11	0
5	12	0
5	13	11.1
5	14	11.1
5	15	11.1
5	16	0
