year	benchmark	value
1	1	7.7
1	2	7.7
1	3	0
1	4	7.7
1	5	7.7
1	6	7.7
1	7	0
1	8	7.7
1	9	7.7
1	10	0
1	11	7.7
1	12	7.7
1	13	7.7
1	14	7.7
1	15	7.7
1	16	7.7
2	1	9.1
2	2	9.1
2	3	0
2	4	9.1
2	5	9.1
2	6	9.1
2	7	9.1
2	8	9.1
2	9	9.1
2	10	0
2	11	9.1
2	12	9.1
2	13	0
2	14	9.1
2	15	0
2	16	0
3	1	7.7
3	2	7.7
3	3	0
3	4	7.7
3	5	7.7
3	6	7.7
3	7	7.7
3	8	7.7
3	9	7.7
3	10	7.7
3	11	0
3	12	7.7
3	13	7.7
3	14	7.7
3	15	0
3	16	7.7
4	1	6.7
4	2	6.7
4	3	0
4	4	6.7
4	5	6.7
4	6	6.7
4	7	6.7
4	8	6.7
4	9	6.7
4	10	6.7
4	11	6.7
4	12	6.7
4	13	6.7
4	14	6.7
4	15	6.7
4	16	6.7
5	1	8.3
5	2	8.3
5	3	0
5	4	8.3
5	5	8.3
5	6	8.3
5	7	8.3
5	8	8.3
5	9	8.3
5	10	0
5	11	8.3
5	12	8.3
5	13	8.3
5	14	8.3
5	15	0
5	16	0
