year	benchmark	value
1	1	11.1
1	2	11.1
1	3	0
1	4	11.1
1	5	11.1
1	6	0
1	7	11.1
1	8	0
1	9	11.1
1	10	0
1	11	0
1	12	11.1
1	13	11.1
1	14	11.1
1	15	0
1	16	0
2	1	10
2	2	10
2	3	0
2	4	10
2	5	10
2	6	0
2	7	10
2	8	0
2	9	10
2	10	0
2	11	3.3
2	12	10
2	13	10
2	14	3.3
2	15	10
2	16	3.3
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	0
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	8.3
3	12	8.3
3	13	8.3
3	14	0
3	15	8.3
3	16	8.3
4	1	8.3
4	2	8.3
4	3	0
4	4	8.3
4	5	8.3
4	6	0
4	7	8.3
4	8	8.3
4	9	8.3
4	10	0
4	11	0
4	12	8.3
4	13	8.3
4	14	8.3
4	15	8.3
4	16	8.3
5	1	14.3
5	2	0
5	3	0
5	4	14.3
5	5	14.3
5	6	0
5	7	0
5	8	0
5	9	14.3
5	10	0
5	11	0
5	12	0
5	13	14.3
5	14	14.3
5	15	14.3
5	16	0
