year	benchmark	value
1	1	9.1
1	2	9.1
1	3	0
1	4	9.1
1	5	9.1
1	6	9.1
1	7	9.1
1	8	9.1
1	9	9.1
1	10	0
1	11	0
1	12	9.1
1	13	0
1	14	0
1	15	9.1
1	16	9.1
2	1	11.1
2	2	11.1
2	3	0
2	4	11.1
2	5	11.1
2	6	11.1
2	7	11.1
2	8	11.1
2	9	11.1
2	10	0
2	11	0
2	12	11.1
2	13	0
2	14	0
2	15	0
2	16	0
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	8.3
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	0
3	12	8.3
3	13	8.3
3	14	0
3	15	8.3
3	16	8.3
4	1	7.7
4	2	7.7
4	3	0
4	4	7.7
4	5	7.7
4	6	7.7
4	7	7.7
4	8	7.7
4	9	7.7
4	10	0
4	11	0
4	12	7.7
4	13	7.7
4	14	7.7
4	15	7.7
4	16	7.7
5	1	7.7
5	2	7.7
5	3	0
5	4	7.7
5	5	7.7
5	6	7.7
5	7	7.7
5	8	7.7
5	9	7.7
5	10	0
5	11	0
5	12	7.7
5	13	7.7
5	14	7.7
5	15	7.7
5	16	7.7
