year	benchmark	value
1	1	7.7
1	2	7.7
1	3	0
1	4	7.7
1	5	7.7
1	6	7.7
1	7	7.7
1	8	7.7
1	9	7.7
1	10	0
1	11	0
1	12	7.7
1	13	7.7
1	14	7.7
1	15	7.7
1	16	7.7
2	1	7.7
2	2	7.7
2	3	0
2	4	7.7
2	5	7.7
2	6	7.7
2	7	7.7
2	8	7.7
2	9	7.7
2	10	0
2	11	0
2	12	7.7
2	13	7.7
2	14	7.7
2	15	7.7
2	16	7.7
3	1	7.7
3	2	7.7
3	3	0
3	4	7.7
3	5	7.7
3	6	7.7
3	7	7.7
3	8	7.7
3	9	7.7
3	10	0
3	11	0
3	12	7.7
3	13	7.7
3	14	7.7
3	15	7.7
3	16	7.7
4	1	10
4	2	10
4	3	0
4	4	10
4	5	10
4	6	10
4	7	10
4	8	10
4	9	10
4	10	0
4	11	0
4	12	10
4	13	0
4	14	0
4	15	10
4	16	0
5	1	16.7
5	2	0
5	3	0
5	4	16.7
5	5	16.7
5	6	0
5	7	0
5	8	16.7
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	16.7
5	15	16.7
5	16	0
