year	benchmark	value
1	1	7.7
1	2	7.7
1	3	0
1	4	7.7
1	5	7.7
1	6	7.7
1	7	7.7
1	8	7.7
1	9	7.7
1	10	0
1	11	7.7
1	12	7.7
1	13	7.7
1	14	0
1	15	7.7
1	16	7.7
2	1	7.7
2	2	7.7
2	3	0
2	4	7.7
2	5	7.7
2	6	7.7
2	7	7.7
2	8	7.7
2	9	7.7
2	10	0
2	11	7.7
2	12	7.7
2	13	7.7
2	14	0
2	15	7.7
2	16	7.7
3	1	9.1
3	2	9.1
3	3	0
3	4	9.1
3	5	9.1
3	6	9.1
3	7	9.1
3	8	9.1
3	9	0
3	10	0
3	11	9.1
3	12	9.1
3	13	9.1
3	14	0
3	15	9.1
3	16	0
4	1	7.1
4	2	7.1
4	3	0
4	4	7.1
4	5	7.1
4	6	7.1
4	7	7.1
4	8	7.1
4	9	7.1
4	10	0
4	11	7.1
4	12	7.1
4	13	7.1
4	14	7.1
4	15	7.1
4	16	7.1
5	1	8.3
5	2	8.3
5	3	0
5	4	8.3
5	5	8.3
5	6	0
5	7	8.3
5	8	8.3
5	9	8.3
5	10	0
5	11	8.3
5	12	0
5	13	8.3
5	14	8.3
5	15	8.3
5	16	8.3
