year	benchmark	value
1	1	8.3
1	2	8.3
1	3	0
1	4	8.3
1	5	8.3
1	6	8.3
1	7	8.3
1	8	8.3
1	9	8.3
1	10	0
1	11	4.2
1	12	8.3
1	13	8.3
1	14	0
1	15	8.3
1	16	4.2
2	1	7.1
2	2	7.1
2	3	0
2	4	7.1
2	5	7.1
2	6	7.1
2	7	7.1
2	8	7.1
2	9	7.1
2	10	0
2	11	7.1
2	12	7.1
2	13	7.1
2	14	7.1
2	15	7.1
2	16	7.1
3	1	7.1
3	2	7.1
3	3	0
3	4	7.1
3	5	7.1
3	6	7.1
3	7	7.1
3	8	7.1
3	9	7.1
3	10	0
3	11	7.1
3	12	7.1
3	13	7.1
3	14	7.1
3	15	7.1
3	16	7.1
4	1	10
4	2	10
4	3	0
4	4	10
4	5	10
4	6	0
4	7	0
4	8	10
4	9	10
4	10	0
4	11	10
4	12	0
4	13	10
4	14	0
4	15	10
4	16	10
5	1	9.1
5	2	9.1
5	3	0
5	4	9.1
5	5	9.1
5	6	0
5	7	0
5	8	9.1
5	9	9.1
5	10	0
5	11	9.1
5	12	0
5	13	9.1
5	14	9.1
5	15	9.1
5	16	9.1
