year	benchmark	value
1	1	10.8
1	2	10.8
1	3	6.9
1	4	10.8
1	5	10.8
1	6	10.8
1	7	2.9
1	8	10.8
1	9	2
1	10	0
1	11	0
1	12	2.9
1	13	4.9
1	14	3.9
1	15	6.9
1	16	4.9
2	1	2.5
2	2	6.2
2	3	1.9
2	4	11.2
2	5	11.2
2	6	11.2
2	7	5.6
2	8	11.2
2	9	5.6
2	10	0
2	11	1.9
2	12	11.2
2	13	3.1
2	14	6.2
2	15	1.9
2	16	9.3
3	1	11.1
3	2	0
3	3	0
3	4	11.1
3	5	11.1
3	6	11.1
3	7	0
3	8	11.1
3	9	5.6
3	10	0
3	11	0
3	12	11.1
3	13	5.6
3	14	0
3	15	11.1
3	16	11.1
4	1	8.3
4	2	8.3
4	3	0
4	4	8.3
4	5	8.3
4	6	8.3
4	7	8.3
4	8	8.3
4	9	8.3
4	10	0
4	11	0
4	12	8.3
4	13	8.3
4	14	0
4	15	8.3
4	16	8.3
5	1	9.1
5	2	9.1
5	3	0
5	4	9.1
5	5	9.1
5	6	9.1
5	7	9.1
5	8	9.1
5	9	0
5	10	0
5	11	0
5	12	9.1
5	13	9.1
5	14	0
5	15	9.1
5	16	9.1
