year	benchmark	value
1	1	8.3
1	2	8.3
1	3	0
1	4	8.3
1	5	8.3
1	6	0
1	7	8.3
1	8	8.3
1	9	8.3
1	10	0
1	11	0
1	12	8.3
1	13	8.3
1	14	8.3
1	15	8.3
1	16	8.3
2	1	8.3
2	2	8.3
2	3	0
2	4	8.3
2	5	8.3
2	6	0
2	7	8.3
2	8	8.3
2	9	8.3
2	10	0
2	11	0
2	12	8.3
2	13	8.3
2	14	8.3
2	15	8.3
2	16	8.3
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	0
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	0
3	12	8.3
3	13	8.3
3	14	8.3
3	15	8.3
3	16	8.3
4	1	14.3
4	2	14.3
4	3	0
4	4	14.3
4	5	14.3
4	6	0
4	7	0
4	8	14.3
4	9	14.3
4	10	0
4	11	0
4	12	0
4	13	14.3
4	14	0
4	15	0
4	16	0
5	1	11.1
5	2	11.1
5	3	0
5	4	11.1
5	5	11.1
5	6	0
5	7	0
5	8	11.1
5	9	11.1
5	10	0
5	11	0
5	12	0
5	13	11.1
5	14	11.1
5	15	11.1
5	16	0
