year	benchmark	value
1	1	10
1	2	10
1	3	0
1	4	10
1	5	10
1	6	10
1	7	10
1	8	10
1	9	10
1	10	0
1	11	0
1	12	10
1	13	10
1	14	0
1	15	0
1	16	0
2	1	9.1
2	2	9.1
2	3	0
2	4	9.1
2	5	9.1
2	6	9.1
2	7	9.1
2	8	9.1
2	9	9.1
2	10	0
2	11	0
2	12	0
2	13	9.1
2	14	9.1
2	15	9.1
2	16	0
3	1	2.1
3	2	12.5
3	3	0
3	4	12.5
3	5	12.5
3	6	12.5
3	7	12.5
3	8	12.5
3	9	2.1
3	10	12.5
3	11	0
3	12	0
3	13	2.1
3	14	2.1
3	15	2.1
3	16	2.1
4	1	12.5
4	2	12.5
4	3	0
4	4	12.5
4	5	12.5
4	6	12.5
4	7	0
4	8	12.5
4	9	12.5
4	10	0
4	11	0
4	12	12.5
4	13	0
4	14	0
4	15	0
4	16	0
5	1	11.8
5	2	11.8
5	3	0
5	4	11.8
5	5	11.8
5	6	5.9
5	7	0
5	8	5.9
5	9	11.8
5	10	0
5	11	0
5	12	0
5	13	5.9
5	14	11.8
5	15	11.8
5	16	0
