year	benchmark	value
1	1	6.9
1	2	10.3
1	3	0
1	4	10.3
1	5	10.3
1	6	10.3
1	7	10.3
1	8	10.3
1	9	3.4
1	10	0
1	11	0
1	12	10.3
1	13	0
1	14	10.3
1	15	3.4
1	16	3.4
2	1	11.1
2	2	7.4
2	3	0
2	4	11.1
2	5	11.1
2	6	11.1
2	7	0
2	8	7.4
2	9	11.1
2	10	0
2	11	0
2	12	11.1
2	13	0
2	14	7.4
2	15	0
2	16	11.1
3	1	12
3	2	12
3	3	0
3	4	12
3	5	10
3	6	12
3	7	12
3	8	12
3	9	2
3	10	0
3	11	0
3	12	2
3	13	2
3	14	4
3	15	4
3	16	4
4	1	9.1
4	2	5.3
4	3	0
4	4	13.6
4	5	13.6
4	6	11.4
4	7	4.5
4	8	5.3
4	9	13.6
4	10	0
4	11	0
4	12	6.1
4	13	2.3
4	14	3
4	15	6.8
4	16	5.3
5	1	11.1
5	2	11.1
5	3	0
5	4	11.1
5	5	11.1
5	6	0
5	7	5.6
5	8	11.1
5	9	11.1
5	10	0
5	11	0
5	12	0
5	13	5.6
5	14	11.1
5	15	11.1
5	16	0
