year	benchmark	value
1	1	9.1
1	2	9.1
1	3	0
1	4	9.1
1	5	9.1
1	6	9.1
1	7	9.1
1	8	9.1
1	9	9.1
1	10	0
1	11	0
1	12	9.1
1	13	9.1
1	14	0
1	15	0
1	16	9.1
2	1	3.6
2	2	7.1
2	3	0
2	4	10.7
2	5	10.7
2	6	10.7
2	7	3.6
2	8	10.7
2	9	10.7
2	10	0
2	11	0
2	12	8.3
2	13	4.8
2	14	6
2	15	3.6
2	16	9.5
3	1	9.5
3	2	4.8
3	3	0
3	4	9.5
3	5	9.5
3	6	9.5
3	7	4.8
3	8	9.5
3	9	9.5
3	10	0
3	11	0
3	12	9.5
3	13	4.8
3	14	0
3	15	9.5
3	16	9.5
4	1	8.3
4	2	8.3
4	3	0
4	4	8.3
4	5	8.3
4	6	8.3
4	7	8.3
4	8	8.3
4	9	0
4	10	0
4	11	0
4	12	8.3
4	13	8.3
4	14	8.3
4	15	8.3
4	16	8.3
5	1	20
5	2	0
5	3	0
5	4	20
5	5	20
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	20
5	15	20
5	16	0
