year	benchmark	value
1	1	1.4
1	2	14.1
1	3	0
1	4	14.1
1	5	14.1
1	6	14.1
1	7	5.6
1	8	7
1	9	2.8
1	10	0
1	11	0
1	12	7
1	13	11.3
1	14	2.8
1	15	2.8
1	16	2.8
2	1	9.5
2	2	4.8
2	3	0
2	4	9.5
2	5	9.5
2	6	9.5
2	7	9.5
2	8	9.5
2	9	9.5
2	10	0
2	11	0
2	12	9.5
2	13	9.5
2	14	0
2	15	4.8
2	16	4.8
3	1	7
3	2	5.9
3	3	0
3	4	12.2
3	5	8.1
3	6	8.1
3	7	6.3
3	8	8.5
3	9	10
3	10	0
3	11	0
3	12	10.3
3	13	7.7
3	14	1.8
3	15	2.6
3	16	11.4
4	1	12.1
4	2	3
4	3	0
4	4	12.1
4	5	12.1
4	6	3
4	7	6.1
4	8	12.1
4	9	0
4	10	0
4	11	12.1
4	12	3
4	13	12.1
4	14	9.1
4	15	0
4	16	3
5	1	11.1
5	2	11.1
5	3	0
5	4	11.1
5	5	11.1
5	6	0
5	7	0
5	8	11.1
5	9	0
5	10	0
5	11	11.1
5	12	0
5	13	11.1
5	14	11.1
5	15	11.1
5	16	0
