year	benchmark	value
1	1	7.1
1	2	7.1
1	3	0
1	4	7.1
1	5	7.1
1	6	7.1
1	7	7.1
1	8	7.1
1	9	7.1
1	10	0
1	11	7.1
1	12	7.1
1	13	7.1
1	14	7.1
1	15	7.1
1	16	7.1
2	1	9.1
2	2	9.1
2	3	0
2	4	9.1
2	5	9.1
2	6	9.1
2	7	9.1
2	8	9.1
2	9	9.1
2	10	0
2	11	0
2	12	9.1
2	13	9.1
2	14	0
2	15	9.1
2	16	0
3	1	8.3
3	2	8.3
3	3	0
3	4	8.3
3	5	8.3
3	6	8.3
3	7	8.3
3	8	8.3
3	9	8.3
3	10	0
3	11	0
3	12	8.3
3	13	8.3
3	14	0
3	15	8.3
3	16	8.3
4	1	7.1
4	2	7.1
4	3	0
4	4	7.1
4	5	7.1
4	6	7.1
4	7	7.1
4	8	7.1
4	9	7.1
4	10	0
4	11	7.1
4	12	7.1
4	13	7.1
4	14	7.1
4	15	7.1
4	16	7.1
5	1	10
5	2	10
5	3	0
5	4	10
5	5	10
5	6	0
5	7	0
5	8	10
5	9	10
5	10	0
5	11	10
5	12	0
5	13	10
5	14	10
5	15	10
5	16	0
