year	benchmark	value
1	1	10
1	2	10
1	3	0
1	4	10
1	5	10
1	6	10
1	7	3.3
1	8	10
1	9	3.3
1	10	0
1	11	0
1	12	10
1	13	3.3
1	14	0
1	15	10
1	16	10
2	1	11.1
2	2	3.2
2	3	0
2	4	11.1
2	5	11.1
2	6	11.1
2	7	3.2
2	8	7.9
2	9	4.8
2	10	0
2	11	0
2	12	6.3
2	13	11.1
2	14	7.9
2	15	4.8
2	16	6.3
3	1	5.3
3	2	5.3
3	3	0
3	4	11.4
3	5	11.4
3	6	11.4
3	7	7.6
3	8	5.3
3	9	6.8
3	10	0
3	11	0
3	12	7.6
3	13	4.5
3	14	0.8
3	15	11.4
3	16	11.4
4	1	9.1
4	2	9.1
4	3	0
4	4	9.1
4	5	9.1
4	6	9.1
4	7	9.1
4	8	9.1
4	9	9.1
4	10	0
4	11	0
4	12	9.1
4	13	9.1
4	14	0
4	15	0
4	16	9.1
5	1	10
5	2	10
5	3	0
5	4	10
5	5	10
5	6	10
5	7	10
5	8	10
5	9	10
5	10	0
5	11	0
5	12	0
5	13	0
5	14	10
5	15	10
5	16	0
