year	benchmark	value
1	1	11.3
1	2	4.8
1	3	0
1	4	11.3
1	5	11.3
1	6	11.3
1	7	11.3
1	8	3.2
1	9	1.6
1	10	0
1	11	0
1	12	9.7
1	13	3.2
1	14	3.2
1	15	11.3
1	16	6.5
2	1	4.3
2	2	7.4
2	3	0
2	4	16
2	5	7.8
2	6	6.1
2	7	4.5
2	8	11.9
2	9	6.7
2	10	0
2	11	0
2	12	7.3
2	13	9.7
2	14	6
2	15	6.3
2	16	6
3	1	7.3
3	2	5.5
3	3	0
3	4	15.9
3	5	8.6
3	6	8.8
3	7	5.8
3	8	8.8
3	9	4.9
3	10	0
3	11	0
3	12	8.8
3	13	9.1
3	14	6.5
3	15	4.7
3	16	5.4
4	1	6.7
4	2	3.6
4	3	0
4	4	10.7
4	5	13.4
4	6	8.5
4	7	4.5
4	8	5.4
4	9	12.1
4	10	0
4	11	0
4	12	15.2
4	13	3.6
4	14	4
4	15	4
4	16	8.5
5	1	0
5	2	12.5
5	3	0
5	4	12.5
5	5	12.5
5	6	12.5
5	7	0
5	8	12.5
5	9	0
5	10	0
5	11	0
5	12	12.5
5	13	0
5	14	0
5	15	12.5
5	16	12.5
