year	benchmark	value
1	1	10.1
1	2	10.1
1	3	8.9
1	4	10.1
1	5	10.1
1	6	10.1
1	7	3.8
1	8	10.1
1	9	2.5
1	10	0
1	11	1.3
1	12	3.8
1	13	6.3
1	14	1.3
1	15	6.3
1	16	5.1
2	1	4.8
2	2	7.1
2	3	7.1
2	4	9.5
2	5	9.5
2	6	9.5
2	7	4.8
2	8	9.5
2	9	7.1
2	10	0
2	11	2.4
2	12	9.5
2	13	2.4
2	14	4.8
2	15	2.4
2	16	9.5
3	1	5.1
3	2	7.7
3	3	0
3	4	7.7
3	5	7.7
3	6	7.7
3	7	7.7
3	8	7.7
3	9	7.7
3	10	5.1
3	11	2.6
3	12	5.1
3	13	7.7
3	14	7.7
3	15	5.1
3	16	7.7
4	1	6.7
4	2	6.7
4	3	0
4	4	6.7
4	5	6.7
4	6	6.7
4	7	6.7
4	8	6.7
4	9	6.7
4	10	6.7
4	11	6.7
4	12	6.7
4	13	6.7
4	14	6.7
4	15	6.7
4	16	6.7
5	1	8.1
5	2	8.1
5	3	0
5	4	8.1
5	5	8.1
5	6	6.5
5	7	6.5
5	8	8.1
5	9	6.5
5	10	0
5	11	6.5
5	12	4.8
5	13	8.1
5	14	8.1
5	15	6.5
5	16	6.5
