year	benchmark	value	avg
1	1	7.7	9.04
1	2	7.7	9.08
1	3	0	0.00
1	4	7.7	9.33
1	5	7.7	8.85
1	6	7.7	1.82
1	7	7.7	8.91
1	8	7.7	8.90
1	9	7.7	9.25
1	10	0	0.00
1	11	0	0.00
1	12	7.7	9.21
1	13	7.7	9.13
1	14	7.7	9.18
1	15	7.7	9.16
1	16	7.7	8.30
2	1	7.7	9.09
2	2	7.7	9.13
2	3	0	0.00
2	4	7.7	9.34
2	5	7.7	8.86
2	6	7.7	1.93
2	7	7.7	9.00
2	8	7.7	8.75
2	9	7.7	9.28
2	10	0	0.00
2	11	0	0.00
2	12	7.7	9.29
2	13	7.7	9.15
2	14	7.7	9.28
2	15	7.7	9.05
2	16	7.7	8.23
3	1	4.2	9.12
3	2	8.3	9.11
3	3	0	0.00
3	4	8.3	9.38
3	5	8.3	8.89
3	6	8.3	1.81
3	7	8.3	8.96
3	8	8.3	8.87
3	9	8.3	9.31
3	10	8.3	9.27
3	11	0	0.00
3	12	0	9.30
3	13	8.3	9.13
3	14	8.3	9.32
3	15	4.2	9.06
3	16	8.3	8.42
4	1	7.1	9.05
4	2	7.1	9.05
4	3	0	0.00
4	4	7.1	9.06
4	5	7.1	9.00
4	6	7.1	1.87
4	7	7.1	8.87
4	8	7.1	9.10
4	9	7.1	9.36
4	10	0	9.65
4	11	7.1	9.49
4	12	7.1	9.15
4	13	7.1	9.14
4	14	7.1	9.34
4	15	7.1	9.22
4	16	7.1	8.50
5	1	14.3	9.21
5	2	14.3	9.20
5	3	0	0.00
5	4	14.3	9.01
5	5	14.3	9.01
5	6	0	0.00
5	7	0	7.00
5	8	0	9.50
5	9	14.3	9.39
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	0	8.50
5	14	14.3	9.36
5	15	14.3	9.24
5	16	0	0.00
