year	benchmark	value	avg
1	1	13.9	9.32
1	2	0	9.21
1	3	0	0.00
1	4	11.1	9.61
1	5	13.9	9.04
1	6	13.9	1.76
1	7	5.6	9.03
1	8	13.9	9.08
1	9	0	9.54
1	10	0	0.00
1	11	0	0.00
1	12	0	9.43
1	13	11.1	9.37
1	14	5.6	9.38
1	15	5.6	9.26
1	16	5.6	8.56
2	1	7.7	9.26
2	2	6.6	9.29
2	3	0	0.00
2	4	11	9.60
2	5	11	8.96
2	6	11	1.75
2	7	11	9.06
2	8	11	8.92
2	9	8.8	9.39
2	10	0	0.00
2	11	0	0.00
2	12	11	9.38
2	13	3.3	9.37
2	14	2.2	9.45
2	15	3.3	9.26
2	16	2.2	8.91
3	1	10	9.30
3	2	10	9.22
3	3	0	0.00
3	4	10	9.64
3	5	10	9.16
3	6	10	1.81
3	7	0	9.15
3	8	10	9.03
3	9	10	9.44
3	10	0	0.00
3	11	0	0.00
3	12	10	9.42
3	13	10	9.30
3	14	0	9.37
3	15	0	9.23
3	16	10	8.89
4	1	7.7	9.37
4	2	7.7	9.42
4	3	0	0.00
4	4	7.7	9.42
4	5	7.7	9.28
4	6	7.7	1.76
4	7	7.7	9.31
4	8	7.7	9.19
4	9	7.7	9.55
4	10	0	0.00
4	11	0	0.00
4	12	7.7	9.49
4	13	7.7	9.48
4	14	7.7	9.53
4	15	7.7	9.42
4	16	7.7	9.00
5	1	11.1	9.38
5	2	11.1	9.45
5	3	0	0.00
5	4	11.1	9.40
5	5	11.1	9.32
5	6	11.1	1.69
5	7	0	0.00
5	8	11.1	9.26
5	9	11.1	9.51
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	11.1	9.47
5	14	0	9.54
5	15	11.1	9.44
5	16	0	0.00
