year	benchmark	value	avg
1	1	7.7	9.11
1	2	7.7	9.22
1	3	0	0.00
1	4	7.7	9.41
1	5	7.7	8.86
1	6	7.7	1.82
1	7	7.7	9.05
1	8	7.7	8.99
1	9	7.7	9.33
1	10	0	0.00
1	11	0	0.00
1	12	7.7	9.08
1	13	7.7	9.19
1	14	7.7	9.28
1	15	7.7	9.07
1	16	7.7	8.76
2	1	9.1	9.12
2	2	9.1	9.23
2	3	0	0.00
2	4	9.1	9.45
2	5	9.1	8.85
2	6	9.1	1.85
2	7	9.1	9.05
2	8	9.1	8.90
2	9	4.5	9.36
2	10	0	0.00
2	11	0	0.00
2	12	9.1	9.09
2	13	4.5	9.20
2	14	4.5	9.36
2	15	4.5	9.20
2	16	9.1	8.87
3	1	7.7	9.16
3	2	7.7	9.19
3	3	0	0.00
3	4	7.7	9.43
3	5	7.7	8.97
3	6	7.7	1.82
3	7	7.7	9.04
3	8	7.7	9.01
3	9	7.7	9.37
3	10	0	0.00
3	11	0	0.00
3	12	7.7	9.17
3	13	7.7	9.20
3	14	7.7	9.33
3	15	7.7	9.22
3	16	7.7	8.80
4	1	7.7	9.21
4	2	7.7	9.26
4	3	0	0.00
4	4	7.7	9.28
4	5	7.7	9.13
4	6	7.7	1.74
4	7	7.7	9.13
4	8	7.7	9.02
4	9	7.7	9.42
4	10	0	0.00
4	11	0	0.00
4	12	7.7	9.33
4	13	7.7	9.25
4	14	7.7	9.46
4	15	7.7	9.27
4	16	7.7	8.95
5	1	11.1	9.30
5	2	11.1	9.44
5	3	0	0.00
5	4	11.1	9.29
5	5	11.1	9.22
5	6	11.1	1.68
5	7	0	9.61
5	8	0	9.34
5	9	11.1	9.46
5	10	0	0.00
5	11	0	0.00
5	12	0	9.60
5	13	0	9.53
5	14	11.1	9.48
5	15	11.1	9.40
5	16	11.1	8.82
